,Text in Genlis_Adele,Text in B,Location in Genlis_Adele,Location in B
Genlis_Chevaliers_4,"eu calmé: je suis, me dit-il, LE PLUS MALHEUREUX DE TOUS LES HOMMES, j'ai manqué à mes résolution",répétois qu'elle me laisserat LE PLUS MALHEUREUX DE TOUS LES HOMMES: là-dessus elle tira de sa po,"(719074, 719111)","(259802, 259830)"
Genlis_Chevaliers_5,"ttendu, j'aurois dû ressentir LA JOIE LA PLUS VIVE ET LA PLUS PURE; mais j'avais souffert trop l",ls arrivèrent. Abassa éprouva LA JOIE LA PLUS VIVE ET LA PLUS PURE qui puisse pénétrer le cœur h,"(879615, 879651)","(259802, 259830)"
Genlis_Chevaliers_6,"teur, plus surpris que touché DE TOUT CE QUI VENAIT DE SE PASSER, prit alors une véritable par","ul avec son ami, lui fit part DE TOUT CE QUI VENAIT DE SE PASSER. Barmécide admira la modérati","(1379261, 1379295)","(259802, 259830)"
Gerard_Comte_0," langues, quand Émile parut, éTAIT ENTRE LES MAINS DE TOUT LE monde, et n'avait opéré aucun"," sacré, mais dont les copies éTAIENT ENTRE LES MAINS DE TOUT LE peuple, de ces livres cités e","(81589, 81620)","(596056, 596089)"
Gerard_Comte_1,"ais un sentiment réfléchi, né DE L'ESTIME ET DE LA CONFIANCE, SE conforme aux lois de la socié","pendant la dupe du sentiment, DE L'ESTIME, ET DE LA CONFIANCE; SE vaient jouées par l'artifice ","(321899, 321933)","(596056, 596089)"
Gerard_Comte_2,"alis venait de lui faire part DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS, ET je ne pouvais deviner le suje",Personne ne se défiait encore DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS; ET les raisonnement que formait ,"(1022281, 1022319)","(596056, 596089)"
Jacquin_Parisiennes_0," elle, et je l'ai retrouvée à-PEU-PRÈS DANS LA MÊME SITUATION. ELLE AVAIT assez de monde; j'ai vu plusi",me dévorait: son cœur était à PEU PRÈS DANS LA MÊME SITUATION: ELLE M'AVAIT présenté la main pour me rele,"(5234, 5277)","(45873, 45918)"
Jacquin_Parisiennes_1,"eu calmé: je suis, me dit-il, LE PLUS MALHEUREUX DE TOUS LES HOMMES, j'ai manqué à mes résolution",nçai plus à me regarder comme LE PLUS MALHEUREUX DE TOUS LES HOMMES: abandonné à la plus vive dou,"(719074, 719111)","(45873, 45918)"
Kimber_Thompson_0,"eri, d'abord par l'inquiétude QUE LUI CAUSAIT LA MALADIE DE SA FILLE, et par la crainte affreuse q","Walter, malgré la distraction QUE LUI CAUSAIT LA MALADIE DE SA FILLE, a eu autant de soin de vous ","(245218, 245256)","(254737, 254775)"
Laclos_Liaisons_0,er la force de vous en faire? CE NE SERAIT PAS LA PREMIÈRE FOIS QUE VOUS auriez employé avec moi cette,"e moment, n'oubliez point que CE NE SERAIT PAS LA PREMIÈRE FOIS QUE VOUS vous seriez applaudi d'avance","(210329, 210371)","(744202, 744244)"
Laclos_Liaisons_1,s vous représenterez sûrement MIEUX QUE JE NE POURRAIS VOUS LE tracer. Vous concevrez facile,"voie, parce que vous y verrez MIEUX QUE JE NE POURRAIS VOUS LE dire, quelles sont les pensée","(274169, 274201)","(744202, 744244)"
Lagrave_Sophie_0," moi je ne puis le concevoir. CE QU'IL Y A DE CERTAIN, C'EST QUE JE sens trop à présent les consé"," On se prévient quelquefois maL-À-PROPOS: CE QU'IL Y A DE CERTAIN, c'est que je lui trouve un mai","(55173, 55210)","(118340, 118377)"
Lagrave_Sophie_1,"sité de Madame De Valmont, et SE JETANT DANS SES BRAS EN VERSANT UN TORRENT DE LARMES: ""apprenez, lui dit-elle, tou","er, se précipita hors de cette VOITURE, ET VINT SE JETER DANS MES BRAS EN VERSANT UN torrent de larmes. Je la pres","(288638, 288693)","(118340, 118377)"
Lagrave_Sophie_2,"eurs, se leva impétueusement, ET FUT SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","embrasser mademoiselle de BeauREGARD, S'ARRÊTA, ET FUT SE JETER DAns les bras de son père. 
Ces ","(364632, 364668)","(118340, 118377)"
Lagrave_Zabeth_0,"t, Cécile, baignée de pleurs, SE JETA DANS LES BRAS DE SA sœur, et la pressant contre s","'un mouvement précipité, vint SE JETER DANS LES BRAS DE SA tante. Enneric s'avance promp","(151146, 151173)","(69949, 69977)"
Lagrave_Zabeth_1,"s, se leva impétueusement, et FUT SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous"," un peu d'inclination. Zabeth FUT SE JETER DANS LES BRAS DE SON père, et l'embrassa tendremen","(364635, 364668)","(69949, 69977)"
Lagrave_Zabeth_2,on vient lui dire qu'un homme DEMANDE À LUI PARLER DE LA PART DE son père... mon père! S'écrie,"te de M. de Saint-Silvain, et DEMANDA À LUI PARLER DE LA PART DE sa fille. Madame de Saint-Sil","(524251, 524285)","(69949, 69977)"
Lagrave_Zabeth_3,"res, entre Madame D'Almane et MOI; TOUT LE RESTE DE LA COMPAGNIE forme un cercle autour de lui",elles fussent dans le parc un MOMENT. TOUT LE RESTE DE LA COMPAGNIE entra au château: lorsque M. ,"(564783, 564817)","(69949, 69977)"
Lagrave_Zabeth_4,"ule d'être admirée; pour moi, JE N'AI FAIT QUE MON DEVOIR. J'AI senti que cette idée blessait","il.--Ne me louez pas, dit-il; JE N'AI FAIT QUE MON DEVOIR. J'AI encore bien de bonnes actions","(608946, 608979)","(69949, 69977)"
LaPlace_Collection_0, ma vie je me suis occupée de TOUT CE QUI POUVAIT AVOIR QUELQUE RAPPORT à l'éducation. Mariée à seize,"u soin de m'y faire conduire. TOUT CE QUI POUVAIT AVOIR QUELQUE RAPPORT avec le comte de Beaubourg, a","(10972, 11013)","(356501, 356542)"
LaPlace_Collection_1,"de faire une si jolie action, QUE JE NE PUIS M'EMPÊCHER DE VOUS la conter, et je r'ouvre ma l",ce que je „vous aime toujours QUE JE NE PUIS M'EMPÊCHER „DE VOUS gronder. Mon mari me mande qu,"(99791, 99824)","(356501, 356542)"
LaPlace_Collection_2,"ession, un homme à cheval fit DEMANDER À LUI PARLER, DE LA PART DE Madame De Murville, pour affa","e a „été ma surprise, lorsque DEMANDANT À LUI PARLER „DE LA PART DE cette princesse, on a été obl","(153339, 153375)","(356501, 356542)"
LaPlace_Collection_3,"nt reconnaissant et touché de CE QUE VOUS AVEZ FAIT POUR MOI. 
Je me fis saigner hier, je ","l y a tant de générosité dans CE QUE „VOUS AVEZ FAIT POUR MOI, que je serais injuste, „si j","(609376, 609406)","(356501, 356542)"
LaPlace_Lydia_0," touchante, un air si tendre, UN SON DE VOIX SI DOUX, QUE je me sentis émue jusqu'au fo","c un accent si flatteur, avec UN SON DE VOIX SI DOUX, QUE toutes les fibres de mon cœur","(964618, 964645)","(20118, 20145)"
Leonard_Lettres_0,"t qu'une incertitude cruelle. JE DESCENDIS AU FOND DE MON CŒUR, je l'interrogeai, je le trou",ouvent j'interroge ma raison; JE DESCENDS AU FOND DE MON CŒUR; j'y dresse un tribunal où je,"(566044, 566076)","(184539, 184570)"
Lesuire_Aventurier_0," pieds sans mouvement et sans CONNAISSANCE. J'IGNORE COMBIEN DE TEMPS JE RESTAI DANS CET ÉTAT. Hélas, je ne devais revenir "," à m'évanouir, à perdre toute CONNAISSANCE. J'IGNORE COMBIEN DE TEMPS JE RESTAI DANS CET ÉTAT. Je commençai enfin à m'éveil","(851169, 851232)","(598732, 598795)"
Lesuire_Aventurier_1,"t affreux cachot. À ces mots, JE REGARDAI AUTOUR DE MOI, JE VIS une caverne immense dont l'œi", d'une imagination déréglée?n JE REGARDAI AUTOUR DE MOI. JE VIS que tous ceux qui m'entouraie,"(852237, 852270)","(598732, 598795)"
Lesuire_Aventurier_2,"ormer des vœux pour sa santé. IL EST VRAI QUE JE N'AVAIS PLUS d'aversion pour lui, la relig",ise; pouvais-je m'y déplaire? IL EST VRAI QUE JE N'Y AVAIS PLUS la tête lavée. Je présentai c,"(867519, 867550)","(598732, 598795)"
Lesuire_Aventurier_3,"nfant si passionnément aimée, JE LA SERRAI DANS MES BRAS, JE vis couler ses larmes, et je ","ance. Désirant de la ranimer, JE LA SERRAI DANS MES BRAS. JE sentis sa poitrine s'échauffe","(890368, 890398)","(598732, 598795)"
Lesuire_Crime_0," poursuivit Adèle, que ce qui LUI FAISAIT LE PLUS DE PEINE, C'EST QUE sa pauvre mère était bien mal","ir, avec ces propos ambigus? CE QUI ME FAISAIT LE PLUS DE PEINE, C'EST Que les deux chers auteurs de m","(95321, 95360)","(372866, 372908)"
Lesuire_Crime_1,"ppartement; avant d'entrer, j'AI ENTENDU DE GRANDS ÉCLATS DE RIRE QUI m'ont un peu rassurée sur l'é","res. Pendant cette exécution, J'AI ENTENDU DE GRANDS ÉCLATS DE RIRE, Qui ne venaient plus d'eux; mai","(449098, 449137)","(372866, 372908)"
Lesuire_Crime_2,"désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","crupules? 
“Voilà, mon bon ami, TOUT CE QUE JE PUIS VOUS DIre, pour le présent, sur ce su","(805345, 805374)","(372866, 372908)"
Loaisel_Ainsi_0,"r d'oiseaux, car je désir que TOUT CE QUI M'ENTOURE, TOUT CE QUI m'approche, soit heureux... A","a maison; j'ai beau voir dans TOUT CE QUI M'ENTOURE, TOUT CE QUI t'appartient, tout ce qui t'e","(101573, 101607)","(244700, 244734)"
Louvet_Annee_0,"z que des éloges: d'ailleurs, EN VÉRITÉ, JE CROIS QUE JE NE CRITIQUERAI jamais une invention si utile","puleux, si vous voulez; mais, EN VÉRITÉ, JE CROIS QUE JE NE POURRAIS jamais me résoudre à asseoir ","(55639, 55680)","(115834, 115872)"
Louvet_Annee_1,"e leva impétueusement, et fut SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous",urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"(364639, 364668)","(115834, 115872)"
Louvet_Annee_2,"désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","(805345, 805374)","(115834, 115872)"
Louvet_Annee_3,"e, cette petite merveille, ce CHEF-D'ŒUVRE DE LA NATURE ET DE L'ÉDUCATION; je vais contenter votre curi","e, mon ami; votre sœur est le CHEF-D'ŒUVRE DE LA NATURE ET DE L'ÉDUCATION.-Rosambert, ce chef-d'œuvre e","(1111998, 1112041)","(115834, 115872)"
Louvet_Fin_0,". comme il achevait ces mots, LA PORTE DE LA CHAMBRE S'OUVRIT TOUT-À-COUP, et le spectacle le plus inat","nous troubler dans son culte. LA PORTE DE LA CHAMBRE S'OUVRIT TOUT À COUP, quelqu'un entra brusquement.","(545900, 545943)","(273418, 273461)"
Maistre_Voyage_0,"nt et persécuté; ma cause est CELLE DE TOUS LES CŒURS SENSIBLES ET vertueux: chargé de fers, mou","il a ton approbation, il aura CELLE DE TOUS LES CŒURS SENSIBLES ET délicats; et si tu pardonnes ","(528823, 528859)","(44649, 44685)"
Marmontel_Belisaire_0,"la mort, daignez me conserver LE PLUS PRÉCIEUX DE TOUS LES BIENS! ... Sauvez-moi l'honneur! ..","ent pour lui, après la vertu, LE PLUS PRÉCIEUX DE TOUS LES BIENS; que le soin de cette existen","(1074085, 1074119)","(175999, 176033)"
Marmontel_Contes_0,qu'à me faire mieux connaître QUE JE NE PUIS VIVRE SANS VOUS. J'ose croire que vous m'esti,"en! Pour moi, je vous déclare QUE JE NE PUIS VIVRE SANS VOUS.-vous le croyez; mais l'absen","(157313, 157343)","(250459, 250489)"
Marmontel_Contes_1,"une, il oublia, dans les bras DE SA FEMME ET DE SES ENFANTS, le sort si différent pour le","de sa propre estime, de celle DE SA FEMME ET DE SES ENFANTS; il faut pouvoir s'accoutumer","(535755, 535784)","(250459, 250489)"
Marmontel_Contes_2,"répondre, ah! Dit-il enfin, n'AVEZ-VOUS PAS LE DROIT DE DISPOSER DE ma destinée! ... Le soir même","é n'est-elle pas la mienne? N'AVEZ-VOUS PAS LE DROIT DE DISPOSER DE moi?-tout cela, mon enfant, e","(898133, 898170)","(250459, 250489)"
Marmontel_Incas_0,"cri affreux et tombe évanouie SUR LE SEIN DE SA MÈRE. LE pauvre Théodore, baigné de la","e multitude affamée, l'enfant SUR LE SEIN DE SA MÈRE, LE vieillard dans les bras de so","(138834, 138860)","(492257, 492283)"
Merard_Bergeries_0,"point oublié, mon cher baron, LA PROMESSE QUE JE VOUS AI FAITE de vous envoyer une descripti"," fuir avec moi, j'effectuerai LA PROMESSE QUE JE VOUS AI FAITE. 
m LLE de villebrun. 
Ah! Fr","(498382, 498414)","(106127, 106159)"
Mercier_Jezennemours_0,"chait la solitude, me fuyait, ET, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","(696843, 696878)","(75548, 75582)"
Mercier_Jezennemours_1,"quatre vingt lieues de Paris, POUR LA PREMIÈRE FOIS DE SA VIE, elle est si occupée des prép","s mouvement de son cœur, sut, POUR LA PREMIÈRE FOIS DE SA VIE, leur en imposer, parce qu'il","(749498, 749529)","(75548, 75582)"
Mirabeau_Conversion_0,"'aime point et qu'il méprise. AH, JE NE LE VOIS QUE TROP à présent, nous faisons nous-","endez donc, mademoiselle ?... AH JE NE LE VOIS QUE TROP, vous me confondez dans la fo","(208833, 208859)","(31292, 31317)"
Montesquieu_Arsace_0,"ur succéda l'attendrissement, SES YEUX SE REMPLIRENT DE LARMES; ET se tournant vers M D'Aimeri: "," et encore plus d'y répondre. SES YEUX SE REMPLIRENT DE LARMES, ET l'eunuque en fut attendri. So","(443347, 443383)","(2923, 2959)"
Morelly_Naufrage_0,"présent, mais je sens combien TOUT CE QUE VOUS VENEZ DE DIRE est juste et raisonnable, et ","ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","(1249560, 1249590)","(352248, 352281)"
Nerciat_Aphrodites_0,d'un bonheur plus grand; mais IL N'EN EST PAS MOINS VRAI QUE son état n'est qu'une végétat,"je n'oserais vous contredire, IL N'EN EST PAS MOINS VRAI QUE ma Tante pensant à me procure","(118524, 118554)","(26264, 26294)"
Nerciat_Aphrodites_1,", son fils et moi. Il n'était QUE CINQ HEURES APRÈS-MIDI; MAIS COMME nous sommes dans le cœur de l","ice des Aphrodites. 
--Il n'esT QUE CINQ HEURES APRÈS-MIDI; MAIS COMme il n'entre du jour de nulle","(376255, 376293)","(26264, 26294)"
Nerciat_Aphrodites_2,"ize ans, d'être moins occupée DE LA PLUS JOLIE FIGURE DU MONDE, ET d'annoncer un meilleur nature","uf, dix.--C'est un nouveau reçU DE LA PLUS JOLIE FIGURE DU MONDE, et qui en porte un de neuf pou","(935385, 935421)","(26264, 26294)"
Nerciat_Aphrodites_3,"ter: ce détail est trop long, JE N'AI PAS LE TEMPS DE VOUS en instruire à présent, mais "," moi? 
Mad. Durut. 
Pour qui dONC!... JE N'AI PAS LE TEMPS de vous donner moi-même avec ","(1002264, 1002292)","(26264, 26294)"
Nerciat_Etourdi_0,"chait la solitude, me fuyait, ET, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(696843, 696878)","(62682, 62716)"
Nerciat_Etourdi_1,"x, des habits magnifiques, de SUPERBES CHEVAUX, LES VOITURES LES PLUS ÉLÉGANTES, une petite maison bien reche","ut mon bonheur à posséder des SUPERBES CHEVAUX, LES VOITURES LES PLUS ÉLÉGANTES et les plus nouvelles ; à avo","(1045209, 1045258)","(62682, 62716)"
Nerciat_Felicia_0,"t-ils beaucoup moins fatigués QUE JE NE LE SUIS MOI-MÊME. Cette terre est charmante, j","ue madame est mieux instruite QUE JE NE LE SUIS MOI-MÊME, il est inutile que je demeur","(2354, 2380)","(545171, 545197)"
Popeliniere_Daira_0,", je l'avoue, et je sens même QUE JE N'AUROIS PAS LA FORCE DE vous dire moi-même une chose ", etamp; de nouvelles douleurs QUE JE N'AUROIS PAS LA FORCE DE supporter; elles seraient auj,"(670554, 670585)","(83451, 83482)"
Popeliniere_Daira_1," ... Vous ne pouvez concevoir TOUT CE QUI SE PASSE DANS MON cœur, non; quoique vous le co", etamp; où je me rappelle que TOUT CE QUI SE PASSA DANS MON âme pendant même un nombre de,"(1357382, 1357411)","(83451, 83482)"
Prevost_Manon_0," voulu me quitter un instant, DANS LA CRAINTE QUE JE NE ME TROUVASSE mal encore. Qu'il est doux d'"," car j'étais sans un sou, et, DANS LA CRAINTE QUE JE NE TROUVASSE de l'obstacle à ma sortie de ","(609582, 609620)","(64581, 64616)"
Prevost_Manon_1,"jugez bien, mon cher vicomte, QUE CE N'EST PAS SANS RAISON QUE JE me fais autant prier d'une ch",ver fort risible. Vous verrez QUE CE N'EST PAS SANS RAISON QUE JE me suis étendu sur cette ridi,"(1006173, 1006208)","(64581, 64616)"
Prevost_Manon_2,"uvé la vie, puisque j'ai pour TOI LES SENTIMENT DU FILS LE PLUS TENDRE! ... Mon père, quel est mon b","-il témoin que j'ai pour vous TOUS LES SENTIMENTS DU FILS LE PLUS TENDRE et le plus respectueux. 
Mais","(1172798, 1172838)","(64581, 64616)"
Prevost_Monde_0,"age, Adèle changea de visage, JE FEIGNIS DE NE PAS REMARQUER SON trouble; et poursuivant mon d","ment. Elle ne répliqua point. JE FEIGNIS DE NE PAS REMARQUER SON silence. Le prieur, qui jugea","(395887, 395921)","(284888, 284922)"
Prevost_Monde_1,"e paraître ignorer absolument TOUT CE QUI SE PASSAIT DANS SON âme, et avec un air de simpli","rincipes. Si je ne lisais pas TOUT CE QUI SE PASSAIT DANS SON cœur, j'en connaissais si par","(1075311, 1075342)","(284888, 284922)"
Puttelange_Roi_0,"oire générale et particulière DE TOUS LES PEUPLES DE LA TERRE, depuis la création du monde ","avaient la réputation d'être, DE TOUS LES PEUPLES DE LA TERRE, celui qui sût le plus exacte","(339363, 339394)","(2568, 2599)"
Puttelange_Roi_1,ère en état d'élever son fils AUSSI-BIEN ET PEUT-ÊTRE MIEUX QUE le meilleur père ou le plus h," qualités font les grands sois, AUSSI BIEN ET PEUT ÊTRE MIEUX ; Que les vastes projets d'une am","(704766, 704799)","(2568, 2599)"
Retif_AntiJustine_0,"euse, et terminer ses peines. EN ACHEVANT CES MOTS, IL SE PROSTERNE aux pieds de Blanche, et lui ","s seuls qui ne payerez pas. » EN ACHEVANT CES MOTS, IL SE PROSTERNA devant moi, en me traitant de","(531064, 531101)","(226976, 227013)"
Retif_Paysanne_0,"x. 
À présent, ma chère amie, IL FAUT QUE JE VOUS DISE UN MOT de nos plaisirs, nous en avon","e, pour y être heureuse. Mais IL FAUT QUE JE VOUS DISE UN MOT des désagréments dont j'ai pa","(221899, 221930)","(84214, 84245)"
Retif_Paysanne_1,"hir et vous accorde du temps, JE NE DOUTE PAS QUE VOUS NE l'ameniez facilement à y reno",moi. Vous êtes charmante ! Et JE NE DOUTE PAS QUE VOUS NE fassiez de brillantes conquêt,"(298764, 298791)","(84214, 84245)"
Retif_Paysanne_2," elle ne lui parle exactement QUE DE LA PLUIE ET DU BEAU TEMPS , craignant toujours, de sa p",que pourtant ils ne parlaient QUE DE LA PLUIE ET DU BEAU TEMPS : mais ça les familiarisait t,"(1185306, 1185338)","(84214, 84245)"
Riccoboni_Histoire_0,"e leva impétueusement, et fut SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","(364639, 364668)","(86876, 86904)"
Riccoboni_Histoire_1,"e paraître ignorer absolument TOUT CE QUI SE PASSAIT DANS SON âme, et avec un air de simpli",n lui montrant qu'elle savait TOUT CE QUI SE PASSAIT DANS SON âme. Par cette conduite elle ,"(1075311, 1075342)","(86876, 86904)"
Riccoboni_LettreJuliette_0,es...-pourquoi pas à présent?-JE NE LE PUIS; CE QUE J'AI à vous confier est d'un trop ,"e ne puis l'oublier! ... non, JE NE LE PUIS! CE QUE J'AI écrit à Milord Carlile a réve","(392378, 392404)","(84584, 84610)"
Riccoboni_LettresAdelaide_0,er la force de vous en faire? CE NE SERAIT PAS LA PREMIÈRE FOIS QUE vous auriez employé avec moi ," l'accréditer ou à l'étendre. CE NE SERAIT PAS LA PREMIÈRE FOIS QUE, sacrifiant mon propre intérê","(210329, 210366)","(9632, 9669)"
Riccoboni_LettresAdelaide_1,"quatre vingt lieues de Paris, POUR LA PREMIÈRE FOIS DE SA VIE, ELLE est si occupée des préparatif"," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl","(749498, 749535)","(9632, 9669)"
Riccoboni_LettresAdelaide_2,"ter: ce détail est trop long, JE N'AI PAS LE TEMPS DE VOUS en instruire à présent, mais "," cher comte, pour vous dire quE JE N'AI PAS LE TEMPS DE VOus écrire. Je pars à l'instant","(1002264, 1002292)","(9632, 9669)"
Riccoboni_LettresFanni_0," mes discours? ...-Ah, maman, JE CROIS TOUT CE QUE VOUS DITES...-pourquoi donc ne me le pro","as pour vous épier, au moins; JE CROIS TOUT CE QUE VOUS ME DITES. Ah! Si à l'ennui de votre ab","(478325, 478356)","(78867, 78901)"
Riccoboni_LettresFanni_1,"int en moi une vertu, c'était LE BESOIN LE PLUS PRESSANT DE MON CŒUR, et le plus doux de mes plais",s le plus vif; elle satisfait LE BESOIN LE PLUS PRESSANT DE MON CŒUR. Je la lis avec avidité; elle,"(895027, 895065)","(78867, 78901)"
Riccoboni_MissJenny_0,"éflexion, pour croire que les CHARMES DE LA DOUCEUR ET DE LA complaisance nuisent aux autr","uand je chantai, il se montra CHARMÉ DE LA DOUCEUR ET DE LA flexibilité de ma voix. Passa","(665163, 665193)","(139227, 139256)"
Riccoboni_MissJenny_1,"ur éclairât moins son visage) IL PRIT UNE DE MES MAINS, ET LA serra fortement dans les sien"," peignit sur tous ses traits. IL PRIT UNE DE MES MAINS, ET LA pressant doucement: "" que voi","(1277090, 1277121)","(139227, 139256)"
Rosny_Firmin_0,"n de mes soins. Cependant, je TOUCHAIS À L'ÉPOQUE LA PLUS INTÉRESSANTE DE MA VIE, j'approchois du moment de ma",r ; il était dit que j'allais TOUCHER À L'ÉPOQUE LA PLUS INTÉRESSANTE DE MA VIE ; mais hélas ! qui peut parer,"(870215, 870265)","(7633, 7682)"
Rosny_Firmin_1,"lle a quinze ans, c'est l'âge OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS; elle vous retrace tout ce qu",œur est à vous depuis le jour OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS. J'ai cru devoir vous laisser,"(897694, 897730)","(7633, 7682)"
Rousseau_Emile_0," il dit entre'autres choses: ""CELLE QUI NOURRIT L'ENFANT D'UNE AUTRE AU LIEU DU SIEN, EST UNE MAUVAISE MÈRE; COMMENT SERA-T-ELLE UNE BONNE NOURRICE? "" Cette phrase vous inspire ","ternelle ne se supplée point. CELLE QUI NOURRIT L'ENFANT D'UNE AUTRE AU LIEU DU SIEN EST UNE MAUVAISE MÈRE: COMMENT SERA-T-ELLE UNE BONNE NOURRICE? Elle pourra le devenir, mais","(145339, 145456)","(24625, 24741)"
Rousseau_Emile_1,"té son offre, ajoute-t-il, et QUE J'EUSSE ERRÉ DANS MA MÉTHODE, C'ÉTAIT UNE ÉDUCATION MANQUÉE. SI J'AVAIS RÉUSSI, C'EÛT ÉTÉ BIEN PIS; SON FILS AURAIT RENIÉ SON TITRE, IL N'EÛT PLUS VOULU ÊTRE PRINCE."" Et pourquoi aurait-il renon","ais accepté son offre, etamp; QUE J'EUSSE ERRÉ DANS MA MÉTHODE, C'ÉTAIT UNE ÉDUCATION MANQUÉE; SI J'AVAIS RÉUSSI, C'EÛT ÉTÉ BIEN PIS, SON FILS AURAIT RENIE SOIN TITRE, IL N'EÛT PLUS VOULU ÊTRE PRINCE. 
Je suis trop. pénétré de la","(179448, 179616)","(24625, 24741)"
Rousseau_Emile_2," malheureux; ensuite il dit: ""QUE FAUT-IL DONC PENSER DE CETTE ÉDUCATION BARBARE... etc."" Cette imitation n'es","atteindra pas l'âge d'homme. 
QUE FAUT-IL DONC: PENSER DE CETTE ÉDUCATION BARBARE qui sacrifie le présent à un ","(388007, 388057)","(24625, 24741)"
Rousseau_Emile_3,"En lui apprenant à ne compter NI SUR LA SANTÉ NI SUR LES RICHESSES, MONTREZ-LUI TOUTES LES ressources, qui, dans les plu"," compter ni sur la naissance, NI SUR LA SANTÉ, NI SUR LES RICHESSES; MONTREZ-LUI TOUTES LES vicissitudes de la fortune; c","(388760, 388820)","(24625, 24741)"
Rousseau_Emile_4,"s (dit Jean-Jacques Rousseau) QUE LA PUDEUR REND LES FEMMES FAUSSES;... ETC."" 
Qui pourrait n'être pas fr",uccomber? Pourquoi dites-vous QUE LA PUDEUR REND LES FEMMES FAUSSES? CELLES qui la perdent le plus sont-e,"(978454, 978499)","(24625, 24741)"
Rousseau_Julie_0," et tout-à-coup je m'aperçois QUE JE N'AI PAS LE SENS COMMUN, et que je suis complètement ","ut le monde, à toi peut-être, QUE JE N’AI PAS LE SENS COMMUN, qui pis est pas le moindre e","(625709, 625739)","(157158, 157188)"
Rousseau_Julie_1,que pour toute autre. Je sais CE QUI SE PASSE AU FOND DE votre âme... vous croyez qu'o,é de vin n’est que l’effet de CE QUI SE PASSE AU FOND DE son cœur dans les autres temp,"(1273428, 1273454)","(157158, 157188)"
Rousseau_Julie_2," de lassitude. Ce matin Adèle EST ENTRÉE DANS MA CHAMBRE AVANT QUE JE FUSSE LEVÉE, elle avait l'air agité, ému;"," au lit un peu tard, mon père EST ENTRÉ DANS MA CHAMBRE AVANT QUE JE FUSSE LEVÉE; il s’est assis à côté de mon","(1380645, 1380696)","(157158, 157188)"
Sacy_Amours_0,"pas entièrement une espérance QUI FAIT TOUT LE BONHEUR DE MA VIE. 
LETTRE 13 Le baron à M D'Ai", ma Mère! conservez-moi un cœuR QUI FAIT TOUT LE BONHEUR DE MA Vie. A peine a-t-il fini ces pa,"(1043926, 1043960)","(9009, 9043)"
Sade_120_0, piété véritablement sublime; ET QUAND VOUS SEREZ INSTRUIT DE CETTE intéressante partie de son hi,"uivre l'ordre des événements, ET QUAND VOUS SEREZ INSTRUITS DE CETTE première branche de mes proje","(558948, 558985)","(554197, 554235)"
Sade_120_1,"désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","z-vous et soyez docile, c'est TOUT CE QUE JE PUIS VOUS DIRE.""---Grancourt obéit et dans u","(805345, 805374)","(554197, 554235)"
Sade_Aline_0,"ur succéda l'attendrissement, SES YEUX SE REMPLIRENT DE LARMES; ET se tournant vers M D'Aimeri: ","ur seul s’est chargé de moi ; SES YEUX SE REMPLIRENT DE LARMES, … ET elle se livra à la plus profo","(443347, 443383)","(1560180, 1560218)"
Sade_Aline_1,"ssion sur l'esprit du prince, IL SE PROMENA À GRANDS PAS DANS LA CHAMBRE avec beaucoup d'agitation; en","l’air de prendre garde à moi; IL SE PROMENA À GRANDS PAS DANS LA CHAMBRE, sans que la douleur s’imprim","(1189233, 1189275)","(1560180, 1560218)"
Sade_Infortunes_0," ans, d'être moins occupée de LA PLUS JOLIE FIGURE DU MONDE, ET d'annoncer un meilleur nature"," une petite robe en désordre, LA PLUS JOLIE FIGURE DU MONDE, ET l'air bien écolière ; elle co","(935388, 935421)","(11113, 11146)"
